title,img_src,link,author,publisher,price
모래 사나이,https://bookthumb-phinf.pstatic.net/cover/163/492/16349275.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349275, E.T.A. 호프만,문학과지성사,"9,000원"
삼국지 1,https://bookthumb-phinf.pstatic.net/cover/163/450/16345002.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345002, 나관중,우리책,"16,200원"
게을러서 차원최강. 6,https://bookthumb-phinf.pstatic.net/cover/163/491/16349157.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349157, 고랭지,영상출판미디어(영상노트),"7,200원"
아! 남궁세가. 3,https://bookthumb-phinf.pstatic.net/cover/163/491/16349156.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349156, 풍백,영상출판미디어(영상노트),"7,200원"
레이첼의 죽음으로부터,https://bookthumb-phinf.pstatic.net/cover/163/392/16339264.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339264, 플린 베리,작가정신,"12,600원"
푸른 고양이(푸른사상 소설선 27),https://bookthumb-phinf.pstatic.net/cover/163/486/16348602.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348602, 송지은,푸른사상,"13,500원"
천산갑,https://bookthumb-phinf.pstatic.net/cover/163/490/16349034.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349034, 정문,바른북스,"11,700원"
전쟁과 사랑,https://bookthumb-phinf.pstatic.net/cover/163/499/16349954.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349954, 엔도 슈사쿠,바오로딸,"18,900원"
할 말이 있어,https://bookthumb-phinf.pstatic.net/cover/163/484/16348409.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348409, 김민주,부크크(Bookk),1
아닌 척 했지만,https://bookthumb-phinf.pstatic.net/cover/163/483/16348343.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348343, 김보영,부크크(Bookk),1
한 번쯤은 이야기해보고 싶었어,https://bookthumb-phinf.pstatic.net/cover/163/483/16348345.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348345, 곽은용,부크크(Bookk),1
가장 보통의 글,https://bookthumb-phinf.pstatic.net/cover/163/483/16348347.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348347, 김지윤,부크크(Bookk),1
두 번 사는 랭커 18,https://bookthumb-phinf.pstatic.net/cover/163/490/16349003.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349003, 사도연,드림북스,"7,200원"
